# dates,infections,hospitalizations,deaths,mean_r_t
2020-04-22,665.8244644996674,141.0,1.579055689319616,0.9806866252707205
2020-04-23,666.0803261801578,141.0,1.6145939687977977,0.9806442325133953
2020-04-24,666.2372262849117,142.0,1.649223332974687,0.9806033977452683
2020-04-25,666.2960385930363,142.0,1.6829264821439174,0.98056469619742
2020-04-26,666.2579034169102,143.0,1.7157456326536593,0.9805289066793986
2020-04-27,666.124124480356,143.0,1.747666156923607,0.9804970844329151
2020-04-28,665.8964053368336,143.0,1.7786782568685586,0.9804706600260309
2020-04-29,665.576768729476,144.0,1.8087829737411005,0.9804515735280867
2020-04-30,665.1678639101382,144.0,1.8379988585190317,0.9804424564258033
2020-05-01,664.6731819195102,144.0,1.86636264785329,0.9804468781256389
2020-05-02,664.0973209866047,145.0,1.8939059565835865,0.9804696796158466
2020-05-03,663.4463763771352,145.0,1.9206557582370645,0.9805174245319241
2020-05-04,662.7284375131001,145.0,1.9466414645812882,0.9805990078426374
2020-05-05,661.9543029900632,145.0,1.9718961137861348,0.9807264752161265
2020-05-06,661.1384388445113,145.0,1.9964585597281963,0.9809161222758918
2020-05-07,660.3002402842882,146.0,2.0203655867324395,0.9811899625185484
2020-05-08,659.4657146748094,146.0,2.04364880865891,0.9815776749740301
2020-05-09,658.6696998143011,146.0,2.066335623420083,0.9821191653427893
2020-05-10,657.9587770375944,146.0,2.0884501592692306,0.9828678915854394
2020-05-11,657.395041655173,146.0,2.1100134827945074,0.9838951048254411
2020-05-12,657.0608884397539,146.0,2.1310416531331677,0.9852951162789273
2020-05-13,657.0649304627458,146.0,2.1515447341538216,0.9871915807765923
2020-05-14,657.5490402007003,146.0,2.1715279473806124,0.9897445221367069
2020-05-15,658.6962346622429,146.0,2.190993575197789,0.993157319636493
2020-05-16,660.7386373656809,146.0,2.2099424857532477,0.997682011122916
2020-05-17,664.010137285954,146.0,2.228374695913133,1.0036199571602047
2020-05-18,669.225805074666,146.0,2.2462894991609135,1.0113132215258296
2020-05-19,676.3709815230561,146.0,2.263685739615904,1.0211204416509265
2020-05-20,685.9034666105727,146.0,2.28056252476912,1.0333707436774267
2020-05-21,698.2882866046705,145.0,2.296919827261971,1.0482927389968735
2020-05-22,713.9738018762605,145.0,2.3127590247361196,1.0659246482719658
2020-05-23,733.3132132963405,145.0,2.328083368856131,1.0860270245963615
2020-05-24,756.4482223410755,145.0,2.3428985992713907,1.1080341656336898
2020-05-25,783.3907292902699,145.0,2.357213860509458,1.1310817457633395
2020-05-26,814.066645685346,145.0,2.371042955740809,1.1541249625718608
2020-05-27,848.3436716731927,145.0,2.3844059805580167,1.1761192117659818
2020-05-28,886.0936539947353,144.0,2.3973314379538144,1.1962007067685172
2020-05-29,927.1910877252988,144.0,2.4098590087795153,1.2138044818248999
2020-05-30,971.5368294653291,144.0,2.4220432073300926,1.2286918602050423
2020-05-31,1019.0677962134687,145.0,2.4339581314533865,1.2409017359782992
2020-06-01,1069.7567351815367,145.0,2.4457035049087468,1.2506632201779317
2020-06-02,1123.6128019182693,146.0,2.4574129077864635,1.2583057728948277
2020-06-03,1180.6743270514098,146.0,2.4692693484819808,1.264188156410876
2020-06-04,1241.0046919916513,147.0,2.481514192434424,1.268652405680233
2020-06-05,1304.6907157724163,149.0,2.4944574012620593,1.271999737573498
2020-06-06,1371.8399365106854,151.0,2.508487103999837,1.274481962952217
2020-06-07,1442.5790346552928,154.0,2.5154298551393364,1.2763021754220054
2020-06-08,1517.0512099176162,157.0,2.5175449021161316,1.2776200720743063
2020-06-09,1595.4141870656526,160.0,2.5167753134755317,1.2785589516420153
2020-06-10,1677.8393284467684,165.0,2.5148046710759586,1.2792127471520611
2020-06-11,1764.5110609452981,170.0,2.5130934181811395,1.279652313589757
2020-06-12,1855.6266120863363,176.0,2.5128998978172494,1.2799306967883741
2020-06-13,1951.3956304013223,183.0,2.5152902434561724,1.2800873748589168
2020-06-14,2052.0398344725377,190.0,2.521159492182003,1.280151583391749
2020-06-15,2157.122026845816,198.0,2.5312437605103892,1.2797460562724845
2020-06-16,2267.4103704185286,207.0,2.5461328387666433,1.2792405682143941
2020-06-17,2383.0405179143545,217.0,2.5624886481966604,1.2786132659963552
2020-06-18,2504.108183751459,227.0,2.5811386991991676,1.2778243995074832
2020-06-19,2630.6173446923635,238.0,2.602686561011867,1.276820880432737
2020-06-20,2762.484301083726,250.0,2.627551921037111,1.2755321213706632
2020-06-21,2899.6589404170686,263.0,2.656005135956617,1.2738648749034949
2020-06-22,3041.9241039222907,276.0,2.6881969214265014,1.2716970787607564
